time,Greece,EU,gap_greece_eu
2014,47.4,79.5,-32.1
2015,49.9,80.4,-30.500000000000007
2016,55.0,81.9,-26.900000000000006
2017,55.8,83.9,-28.10000000000001
2018,59.0,85.0,-26.0
2019,64.2,85.1,-20.89999999999999
2020,60.8,83.7,-22.900000000000006
2021,63.5,84.9,-21.400000000000006
2022,70.1,86.7,-16.60000000000001
2023,73.9,87.6,-13.699999999999989
2024,79.0,86.7,-7.700000000000003
2025,66.9,87.0,-20.099999999999994
