term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),80.68589743589746,1.550879691698246,52.02589076883501,7.968719396098261e-23,77.45081908790796,83.92097578388696
year_centered,0.6692307692307666,0.23883252693852858,2.8020922351293267,0.01100602758180655,0.1710348480188561,1.167426690442677
countryGreece,-31.83589743589746,2.193275093608664,-14.515232279192515,4.403622578475066e-12,-36.410989110963754,-27.260805760831172
year_centered:countryGreece,1.7444055944055972,0.3377601987323047,5.1646274515255834,4.7130416596406485e-5,1.0398501659087556,2.4489610229024388
